title,thumbnail,url,color,year,width,height
Out d'or 2018,,http://2018.outdor.fr,#89008E,2018,,
West Africa Leaks,,https://projects.icij.org/west-africa-leaks/stories/,,2018,,
Offshore Leaks Database - Paradise Papers,,http://offshoreleaks.icij.org/,,2017,,
Gateway to Africa - Paradise Papers,,http://projects.cloud.icij.org/paradise-papers/mauritius/,#50676B,2017,,
The Influencers - Paradise Papers,,https://projects.icij.org/paradise-papers/the-influencers/,#273681,2017,,
"The Good, The Bad and The Accountant",,https://jplusplus.github.io/the-accountant/,,2017,,
OOMG,assets/images/thumbnails/oomgjplusplusorg.png,http://oomg.pirhoo.com/,,2016,,
Geneva Watchers,,https://twitter.com/gva_watcher,,2017,,
Wege Rhein-Erft,assets/images/thumbnails/wrejplusplusorg.png,http://wre.pirhoo.com/,,2017,,
Oeko Flotte,,http://oeko-flotte.herokuapp.com,,2017,,
OKF: Farm Compass,,https://jplusplus.github.io/okf-farmcompass/#!/en_BE,,2017,,
Political Gaps,assets/images/thumbnails/politicalgapseu.png,https://jplusplus.github.io/political-gaps/,,2016,,
jQuest,assets/images/thumbnails/jquest.png,http://jquest.pirhoo.com,,2016,,
The Turkish Puppets,assets/images/thumbnails/turkishpuppets.png,https://jplusplus.gitlab.io/turkish-puppets/,,2016,,
Rentswatch,assets/images/thumbnails/rentswatch.png,http://rentswatch.pirhoo.com/,,2016,,
The Football Tax,assets/images/thumbnails/tft.png,http://thefootballtax.pirhoo.com/,#FFDF54,2016,,
Oeko Kostenrechner,assets/images/thumbnails/ok.png,http://jplusplus.github.io/oeko-kostenrechner/,#71BF44,2016,,
Future by Trump,assets/images/thumbnails/fbt.png,http://pirhoo.github.io/futurebytrump/,#B20107,2016,,
Fledit,assets/images/thumbnails/fledit.png,http://fledit.pirhoo.com/,#474244,2015,,
Morano 2017,assets/images/thumbnails/morano.png,http://morano2017.com/,#3695ff,2015,,
RTS: Parlomètre Roman,assets/images/thumbnails/parlometre.png,http://www.parlometre.ch/,#B5001E,2015,,
Journalism++ Graveyard,assets/images/thumbnails/graveyard.png,http://jplusplus.github.io/graveyard/,#2E2E2E,2015,,
Google Iframe Scaffolder,assets/images/thumbnails/google.png,http://googletrends.github.io/iframe-scaffolder/,#4285F4,2015,,
Diercke GIS,assets/images/thumbnails/diercke.png,http://www.diercke.de/diercke-webgis,#1B2C8A,2015,,
The Migrant Files,assets/images/thumbnails/tmf.png,http://www.themigrantsfiles.com/,#A30000,2015,,
Radio France : Départementales 2015,assets/images/thumbnails/dep15.png,http://elections.radiofrance.fr/departementales-2015/#/france,#007BC6,2015,,
MSF: One year of fight against Ebola,assets/images/thumbnails/ebola.png,http://www.msf-azg.be/ebola_data/,#E22000,2015,,
RSF: Index de la liberté de la presse,assets/images/thumbnails/rsf.png,http://index.rsf.org,#DA032E,2015,,
Iframe Scaffolder,assets/images/thumbnails/iframe.png,http://pirhoo.github.io/iframe-scaffolder/,#53BF6B,2014,,
Global Witness: The Great Rip off,assets/images/thumbnails/gw.png,http://greatripoffmap.globalwitness.org/,#EC1C24,2014,,
Île de France: 10 recettes,assets/images/thumbnails/recettes.png,http://www.iledefrance.fr/fil-actus-region/10-recettes-chefs-gaspiller-moins,#E1C1C2,2014,,
AFDAS: carte de presse en 2015,assets/images/thumbnails/afdas.png,http://data.metiers-presse.org/,#4DBFAC,2014,,
Île de France: les CFA de votre région,assets/images/thumbnails/idf-cfa.png,http://jplusplus.github.io/idf-cartocfa/,#00ACA8,2014,,
Arte: World of Work,assets/images/thumbnails/arte-wow.png,https://arte-wow-production.herokuapp.com,#4A912E,2014,,
Detective.io,assets/images/thumbnails/detective.png,http://detective.io,#237490,2014,,
OKF: Spending Stories,assets/images/thumbnails/spst.png,http://spendingstories.org,#DF1B4F,2014,,
Wikileaks: Kissinger Cables,assets/images/thumbnails/wl.png,http://wikileaks.org/plusd/graph,#8BD6E5,2014,,
Île de France: Le Grand Quiz,assets/images/thumbnails/idf-quiz.png,http://quiz.iledefrance.fr/quiz/quiz-loisirs-verts/,#FF0000,2014,,
France Télévision: Jeu d'Influences,assets/images/thumbnails/ftv-spin.png,http://jeudinfluences.fr/,#440000,2014,,
France Télévision: Municipaly,assets/images/thumbnails/municipaly.png,http://municipaly.fr,#00D59B,2014,,
Fondation BNPP: Odyssée Jeunes,assets/images/thumbnails/bnpp.png,http://odysseejeunes.wedodata.fr/,#00A1B5,2014,,
